config_id,input_mode,routing_mode,ffn_mode,transition_mode,final_mode,n_subs,sub_dim,head_dim,val_loss_1k,val_loss_5k,val_loss_final,train_loss_final,router_entropy_mean,router_entropy_min,load_balance_score,grad_norm_mean,wall_time_min,flops_per_token,active_flops_per_token,total_flops,active_total_flops,params_full,active_params,params_transformer,params_value_embeds,params_total_sp
base,fixed_slice,soft_weighted,standard,parallel,aggregate_proj,8,64,16,,,1.20706735358491,3.982201,1.9761,1.9297,0.7627,,14.43,2.7076e+08,2.7076e+08,1.1924E+017,1.1924E+017,45126160,45126160,3183104,8388608,45126160
base,learned_proj,soft_weighted,standard,parallel,aggregate_proj,8,64,16,,,1.20426228407997,3.974510,1.978,1.9609,0.5935,,14.7,2.7233e+08,2.7233e+08,1.1993E+017,1.1993E+017,45388304,45388304,3445248,8388608,45388304
base,rotated_slice,soft_weighted,standard,parallel,aggregate_proj,8,64,16,,,1.28028939252614,4.221967,1.975,1.9375,0.6052,,14.56,2.7076e+08,2.7076e+08,1.1924E+017,1.1924E+017,45126160,45126160,3183104,8388608,45126160
base,rotated_slice_learned,soft_weighted,standard,parallel,aggregate_proj,8,64,16,,,1.20591155081277,3.975000,1.9779,1.9609,0.5687,,14.6,2.7233e+08,2.7233e+08,1.1993E+017,1.1993E+017,45388304,45388304,3445248,8388608,45388304
base,per_sub_embed,soft_weighted,standard,parallel,aggregate_proj,8,64,16,,,1.20601695201277,3.975000,1.9175,1.8439,0.6621,,20.11,3.7142e+08,3.7142e+08,1.6357E+017,1.6357E+017,61903376,61903376,19960320,8388608,61903376
base,stem,soft_weighted,standard,parallel,aggregate_proj,8,64,16,,,1.21111103277162,3.984000,1.8689,1.5938,0.6391,,15.16,2.7154e+08,2.7154e+08,1.1959E+017,1.1959E+017,45257360,45257360,3314304,8388608,45257360
base,fixed_slice,topk_hard_top4,standard,parallel,aggregate_proj,8,64,16,,,1.20669955580635,3.980000,1.9767,1.9375,0.7592,,11.8,2.7076e+08,2.9178e+08,1.1924E+017,1.2850E+017,45126160,43551248,3183104,8388608,45126160
base,fixed_slice,topk_hard_top1,standard,parallel,aggregate_proj,8,64,16,,,1.2052753002541,3.976000,1.9704,1.9297,0.7366,,11.89,2.7076e+08,2.4695e+08,1.1924E+017,1.0876E+017,45126160,42370064,3183104,8388608,45126160
base,fixed_slice,sequence_path,standard,parallel,aggregate_proj,8,64,16,,,1.20506426492327,3.976000,1.9782,1.9297,0.7374,,12.1,2.7076e+08,2.7076e+08,1.1924E+017,1.1924E+017,45126160,45126160,3183104,8388608,45126160
base,fixed_slice,soft_weighted,no_downproj,parallel,aggregate_proj,8,64,16,,,1.20667859203177,3.980456,1.978,1.9375,0.7388,,12.3,2.7076e+08,2.7076e+08,1.1924E+017,1.1924E+017,45126160,45126160,3183104,8388608,45126160
base,fixed_slice,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.19382768174547,4.018029,1.9862,1.75,0.8797,,12.9,2.7235e+08,2.7235e+08,1.1995E+017,1.1995E+017,45392400,45392400,3449344,8388608,45392400
base,fixed_slice,soft_weighted,standard,cross_attend,aggregate_proj,8,64,16,,,1.19612892186788,3.949230,2.0781,2.0781,1,,13.25,2.7076e+08,2.7076e+08,1.1924E+017,1.1924E+017,45126672,45126672,3183616,8388608,45126672
base,learned_proj,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.193281924813764,,2.0153,1.8984,0.8926,,13.02,2.7393e+08,2.7393e+08,1.2064e+17,1.2064e+17,45654544,45654544,3711488,8388608,45654544
base,learned_proj,soft_weighted,standard,cross_attend,aggregate_proj,8,64,16,,,1.196739899431634,,2.0781,2.0781,1.0000,,13.12,2.7233e+08,2.7233e+08,1.1994e+17,1.1994e+17,45388816,45388816,3445760,8388608,45388816
base,rotated_slice,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.1959331435063374,,2.0182,1.8906,0.8761,,12.80,2.7393e+08,2.7393e+08,1.2064e+17,1.2064e+17,45654544,45654544,3711488,8388608,45654544
base,fixed_slice,topk_hard,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.194496426154748,,1.9867,1.7500,0.8855,,12.67,2.7235e+08,1.9167e+08,1.1995e+17,8.4416e+16,45392400,43548228,3449344,8388608,45392400
base,fixed_slice,soft_weighted,standard,concat_proj,aggregate_proj,8,64,16,,,1.203802828020301,,2.0390,2.0156,0.6671,,12.50,2.7390e+08,2.7390e+08,1.2063e+17,1.2063e+17,45650448,45650448,3707392,8388608,45650448
base,learned_proj,soft_weighted,standard,concat_proj,aggregate_proj,8,64,16,,,1.206111871325474,,2.0409,2.0312,0.6971,,12.73,2.7548e+08,2.7548e+08,1.2132e+17,1.2132e+17,45912592,45912592,3969536,8388608,45912592
